from,to,departureDate,postingID,replyto,isDriver,title,body
seattle,tri cities,2012-11-17 00:00:00,http://seattle.craigslist.org/see/rid/3415641625.html,emailnofound,True,seattle to tri cities (bainbridge island),"driving from Bainbridge to tri cities wednesday afternoon, taking highway 90. Can stop along the way. need gas money up front. "
seattle,portland,2012-11-20 00:00:00,http://seattle.craigslist.org/see/rid/3415592568.html,emailnofound,False,Need ride to Portland eve of 11/20 or 11/21,"Trying to get to Portland on Tuesday for some thanksgiving fun. I have gas $ and/or grass if you like. Seriously, I'm an awesome rideshare partner. If you don't want to talk I'll sleep.(quietly) If C 
conversation is what you seek I can talk interest [...]"
seattle,spokane,2012-11-20 00:00:00,http://seattle.craigslist.org/see/rid/3415498218.html,emailnofound,False,Ride needed - Seattle to Spokane on Tue 11/20 (Seattle),"I'm looking for a ride from Seattle to Spokane. 
Leaving November 20th returning November 25th. Contact me on Zimride: http://www.zimride.com/ride/share?ride=538634 "
invalid,invalid,2012-11-01 00:00:00,http://seattle.craigslist.org/see/rid/3415257291.html,emailnofound,False,cheap travel to any state in the country,"We are a wholesale travel agency that specializes in providing the best price for travel on Greyhound or amtrak. Since we are an online only travel booker, we are able to further discount travel tickets b/c we have very low operating costs. We specia [...]"
seattle,eugene,2012-11-18 00:00:00,http://seattle.craigslist.org/see/rid/3415253763.html,emailnofound,False,Need ride south to Portland or Eugene Sunday 11/18,I need a ride to Eugene this Sunday 11/18. I have money for gas. Getting to Portland would be fine too. I'm a 26 year old male student trying to visit a friend who is expecting a baby in the coming days. Please let me know if you have room for me and [...]
seattle,bellingham,2012-11-16 00:00:00,http://seattle.craigslist.org/est/rid/3415109949.html,emailnofound,True,Offering ride to Bellingham immediately (Newcastle),"Going to Bellingham for the weekend. Leaving from Newcastle, WA. Could pick up riders in Bellevue, or anywhere along the route. Round trip optional - coming back down Sunday evening. 
Looking for someone to chip in on gas and ride along so that I can [...]"
invalid,invalid,2012-11-01 00:00:00,http://seattle.craigslist.org/see/rid/3415097592.html,emailnofound,False,cheap cheap deals on travel to any state,"We are a wholesale travel agency that specializes in providing the best price for travel on Greyhound or amtrak. Since we are an online only travel booker, we are able to further discount travel tickets b/c we have very low operating costs. We specia [...]"
seattle,boise,2012-11-20 00:00:00,http://seattle.craigslist.org/see/rid/3415067472.html,emailnofound,False,Looking for ride to Boise or Twin Falls,Looking for a ride to Boise or Twin Falls on Tuesday or Wednesday. Happy to help with gas
seattle,portland,2012-11-17 00:00:00,http://seattle.craigslist.org/see/rid/3415040579.html,emailnofound,False,Looking to go to Portland 11/17 evening (Seattle or north end),"Hi there, 
I'm looking to get to Portland tomorrow evening. Can leave 6 pm or later. 
I don't have much money for gas, I'm wondering if you will accept canned tomatoes and black beans, and couple bulbs of organic local garlic. Can also offer up a gro [...]"
seattle,portland,2012-11-17 00:00:00,http://seattle.craigslist.org/see/rid/3415036628.html,emailnofound,True,Seattle to Portland leaving Sat. afternoon 11/17 (downtown),"im going to be leaving to portland in the afternoon... i have 3 seats available, but that includes storage too.. trunk is full. call or txt 559-974-0881 
don't bother emailing because i won't be checking, thanks.... "
seattle,vancouver,2012-11-17 00:00:00,http://seattle.craigslist.org/see/rid/3415006292.html,emailnofound,True,"Ride Offered: Seattle to Vancouver, BC on Saturday (Issaquah, Seattle - Vancouver)","I'm heading up to Vancouver (or Squamish more specifically) tomorrow morning (some time around noon more like) I have room in my car for a couple people. 
Let me know if you need a ride. 
Cheers, "
seattle,montana,2012-11-16 00:00:00,http://seattle.craigslist.org/sno/rid/3414837860.html,emailnofound,True,Chill RV Roadtrip  (2 Montana Hot Springs),My RV You Drive Licensed driver of course. Even if your not a driver room for other enlightened passengers. Modern day hippy just living in the now going where the road takes me. Knowledge of sustainable energy. Let me know if interested in sharing t [...]
seattle,eugene,2012-11-21 00:00:00,http://seattle.craigslist.org/tac/rid/3414707759.html,emailnofound,True,Headed to Eugene 11/21 Evening (Tacoma / Fife),"Short notice 
Headed down to Eugene day before Thanksgiving. 
Coming back late afternoon Sunday 11/25 
Tom 253 509-2298 "
olympia,seattle,2012-11-16 00:00:00,http://seattle.craigslist.org/oly/rid/3414542773.html,emailnofound,False,Ride Needed: Olympia to Seattle (Today 11/16) (West olympia),"Hi! I am in need of a ride to Seattle today!! If you are driving up and you need some extra bucks on gas, I am willing to help! I can go in for half of the gas to Seattle. If you are planning to go today Please shoot me a text/call. My number is two- [...]"
seattle,california,2012-11-16 00:00:00,http://seattle.craigslist.org/see/rid/3414518664.html,emailnofound,False,NORTHERN CALIFORNIA ASAP (seattle-tacoma),"looking to leave sun at the soonest. 
i have money for gas and excellent jokes. 
give me a text 5306043749 
flights are so expensive last min,amtrak is sold out. "
seattle,san diego,2012-11-19 00:00:00,http://seattle.craigslist.org/kit/rid/3414499182.html,emailnofound,True,Heading to san diego on 11/19 (bremerton),"Im heading to San Diego on the 19th of November for work, I have a ext. cab truck and can haul stuff down there or ride share, im plan on driving the whole way, and can drop u anywhere within reasonable distance of 1-5 for gas money.... any questions [...]"
redmond,bellingham,2012-11-16 00:00:00,http://seattle.craigslist.org/see/rid/3414320526.html,emailnofound,True,"Ride offered - Redmond to Bellingham on Fri 11/16 (Seattle, Redmond, BHM)","I'm offering a ride from Redmond to Bellingham. 
Leaving late night November 16th returning afternoon November 17th. No smoking no pets no drinking
txt me 224 616 ABID or respond to addThanks Contact me on Zimride: http://www.zimride.com/ride/share?r [...]"
seattle,spokane,2012-11-16 00:00:00,http://seattle.craigslist.org/est/rid/3414299268.html,emailnofound,False,need ride to spokane $20 in gas (redmond to spokane),"I've got $20 for a ride to Spokane today, preferably by 5 ish... Call or text thanks 
David, 
2082155851"
seattle,portland,2012-11-16 00:00:00,http://seattle.craigslist.org/see/rid/3414276415.html,emailnofound,True,Ride offered to Portland tonight  (Seattle area),"I will be leaving for Portland sometime this evening and offering a ride. I'm a 30yr old male construction worker. Comfortable SUV. $25 gets you there. Please have good hygiene and no pets please. 
Call/text 425.614.9808 
Charles "
seattle,california,2012-11-21 00:00:00,http://seattle.craigslist.org/see/rid/3414236560.html,emailnofound,True,Seattle to California 11/21 (Downtown),"Need a ride South? I'm planning on driving down to central California on the evening of 11/21 (probably around 5:00) and leaving from downtown. I'll be driving along the I-5, so I can drop you off somewhere along the way as long as it isn't too much  [...]"
seattle,santa cruz,2012-11-20 00:00:00,http://seattle.craigslist.org/see/rid/3414223177.html,emailnofound,True,Ride offered - Seattle to Santa Cruz on Tue 11/20 (Seattle),"I'm offering a ride from Seattle to Santa Cruz. 
Leaving November 20th returning November 26th. I want to drive straight through without any overnight stops. I am a safe driver and I'm looking for people to help drive. I need passengers that are also [...]"
seattle,minneapolis,2012-11-16 00:00:00,http://seattle.craigslist.org/oly/rid/3414173785.html,emailnofound,True,Headed east Seattle to Minneapolis,"I have a 1-ton dually headed east to Minneapolis I have a topper on the 8 foot bed can move something for you if you need it moved that direction. I also have a bumper pull hitch if you need a trailer, camper, boat, or anything else with a hitch move [...]"
seattle,wenatchee,2012-11-16 00:00:00,http://seattle.craigslist.org/sno/rid/3413999665.html,emailnofound,True,Going East  ( Wenatchee),"Leaving today in a couple of hours, traveling to Wenatchee, looking to share the ride"
seattle,boise,2012-11-23 00:00:00,http://seattle.craigslist.org/tac/rid/3413963945.html,emailnofound,True,Ride to Boise 11/23 (Puyallup),"Heading home to Ontario, Oregon via Ellensburg, Yakima, Pendleton, La Grande, and Baker City Oregon. Leaving Friday morning 11/23. Will split gas ($50 each) - can take you on to Boise for an additional $10. Have large van, plenty of space. No drugs,  [...]"
invalid,invalid,2012-11-01 00:00:00,http://seattle.craigslist.org/skc/rid/3374683528.html,emailnofound,False,Have a Van/Jazzy Select Wheelchair/Ramp (Renton),"Will pick you up, take you to your appt or errands, wait and drive you home....prices vary depending on mileage and time... "
olympia,bellingham,2012-11-16 00:00:00,http://seattle.craigslist.org/oly/rid/3413874355.html,emailnofound,False,Ride Need Today: Olympia to Bellingham (Oly-Bham),I'm looking for a ride to Bellingham today. I am willing to pitch in for gas. I'm a chill guy headed to Canada in the next few days. Call/text me at 603-6eight9-6876
olympia,seatac,2012-11-20 00:00:00,http://seattle.craigslist.org/oly/rid/3413851896.html,emailnofound,False,Need ride from Olympia to SEATAC on nov 20 (olympia wa),"Hello, 
My name is Carly. I am looking for a ride on november 20 in the morning to the airport from Olympia. My flight leaves around 11:30 but I am okay with arriving early. 
I can offer gas/generosity $, homemade raw chocolate, and company :) 
My nu [...]"
seattle,tri cities,2012-11-18 00:00:00,http://seattle.craigslist.org/see/rid/3413775464.html,emailnofound,False,Need ride sunday or saturday to tri cities (Seattle),"I am looking for a ride from seattle to tro cities on sunday or anytime around then saturday would even work for me pr even monday.at the moment i have little cash around 15 bucks. 
Please call or text 509 713 5335"
seattle,ocean shores,2012-11-16 00:00:00,http://seattle.craigslist.org/see/rid/3413644572.html,emailnofound,True,"Sequim, Port Angeles, Forks, Ocean Shores (Coming from Seattle, leaving around NOON)","Hey, hippie here going from Seattle to Sequim, Port Angeles, Forks, Ocean Shores(to dig razor clams), Grays Harbor, then back to Seattle on Sunday via Hoquiam, Aberdeen, Olympia, Tacoma. Anyone need a ride? I drive a large passenger van and can seat  [...]"
billings,seattle,2012-11-21 00:00:00,http://seattle.craigslist.org/tac/rid/3384407141.html,emailnofound,True,Rideshare and drive share from Billings MT to Seattle area November 21 (Seattle),"I am leaving from Billings on November 21st and arriving on Seattle area on the 22nd and returning to Billings beginning on November 25th and arriving on the 26th. 
I am driving a 98 Dodge Mark III Custom Conversion van with a 5' x 8' cargo trailer.  [...]"
