title,shortDescription
"ride needed sf to santa cruz, sat. or sun. (ingleside / sfsu / ccsf)","looking for a ride to santa cruz this weekend, i've got gas money and good company for you. please, help me out! 
give me a call 530 558 5516"
ride needed to arcata,"hello, i am a student at ucsc, and i was looking for a ride up to arcata either today the 17th, or tomorrow the 18th. i would have only one smaller suitcase and a backpack. i can pay for some of the gas and expenses! please email me back, my phone ha [...]"
driving to colorado (sebastopol),"heyo! i'm driving out to colorado come monday. need a ride? let me know. we'll be sportin' a sexy toyota corolla by the name of ollie, listening to good music, and doing what what what. send me an email! i'm planning on driving straight thru as i nee [...]"
offered: sf to la tomorrow (11/18),"hi people 
i am driving from san francisco to los angeles tomorrow, nov. 18, and looking for two or three people to ride with. if you are looking for a ride and can help with gas, say about $30 bucks, email or give me a call: 415-902-5491. 
i plan on [...]"
ride offered - santa rosa to arcata on sun 11/25 (santa rosa),"i'm offering a ride from santa rosa to arcata. 
leaving november 25th. may be able to negotiate picking up in bay area for extra gas cost...travel time / date somewhat flexible!contact me on zimride: http://www.zimride.com/ride/share?ride=539007 "
ride offer to los angeles tues 20  (gilroy),hi i am heading back home to los angeles on the 20th around 10 am if you need a ride call me at (323)4348716 mario 
looking for ride today to la- can pay (berkeley),"my 2 rides fell through. i'm easy going, male, 31, can be quiet or conversational. don't smoke. i can pay good gas money. 
561-291-2006"
ride offered - oakland to sedona on mon 11/19 (oakland),"i'm offering a ride from oakland to sedona. 
leaving november 19th returning november 20th. plan to camp in joshua tree or somewhere else along the way and then finish the drive to sedona. can drop people anywhere along the way (close to the freeway) [...]"
oakland to bakersfield leaving wed. 11/21 (flexible departure time)  (oakland lake merritt / grand),i am a safe driver and attorney. i hope to arrive in bakersfield before night fall on wednesday before thanksgiving. i will be returning sunday evening. i have a light suv so plenty of cargo room. have room for 2-3 passengers. request $25 contributio [...]
need ride to l.a. or sd (santa cruz),"hi, 
i am looking for a ride to los angeles or san diego, for the holidays. 
i can pitch in for gas, and i am a chill passneger. 
thanks, 
-susana 
(760)975-1557"
ride needed today to laytonville 11/17 (oakland hills / mills),"aloha 
visiting from hawaii and trying to find a ride up to laytonville today to visit friends. willing t 
to split gas etc. totally easy going and reliable. have cash and lost my space on train. hit me up if u r hardin that way soon. 
adrian 
(808)  [...]"
north bay to mt. shasta nov.23 or 24  (santa rosa),"Greetings. 
my partner & i will be in santa rosa visiting my mom for thanksgiving. i'll stay there for awhile, but he needs to head back home on the 23rd or 24th. he could take mom's car and thus offer you a ride or better yet, get a ride from you. h [...]"
 san jose to los angeles  sunday november 18th 9am (san jose downtown),"leaving san jose around 9am in the morning. 
can drop off around downtown la, koreatown or somewhere on the way like san fernando valley. 
can pick up around downtown san jose including san jose diridon cal-train station. 
driving toyota camry. 
$35  [...]"
